id,name,address,city_id,location,description,price,place type,food_type
195,Lido di Venezia,"Lido, 30126 Venice, Italy",5,45.39192603199097 12.353095727323561,"Lido di Venezia is a long sandbar that stretches along the Adriatic Sea. It is a popular beach destination where visitors can relax, sunbathe, and enjoy various water activities.",,natural,
196,Parco delle Rimembranze,"Cannaregio, 30121 Venice, Italy",5,45.4267952591565 12.359675805668248,Parco delle Rimembranze is a park situated in the Cannaregio district of Venice. It offers a serene atmosphere with its well-maintained gardens.,,natural,
197,Sant'Elena Park,"Castello, 30122 Venice, Italy",5,45.428424330959714 12.364828064401905,"Sant'Elena Park is a peaceful green space located in the Castello district. It features beautiful lawns, walking paths, and a playground.",,natural,
198,Bacino San Marco,"San Marco, 30124 Venice, Italy",5,45.433191477323014 12.340831353312765,Bacino San Marco is a stunning waterfront area in the San Marco district. It offers breathtaking views of the Venetian lagoon and is a popular spot for romantic walks.,,natural,
199,St. Mark's Square,"P.za San Marco, 30100 Venezia VE, Italy",5,45.43653864398551 12.338113197556172,Iconic square & gathering place dating back to the 12th century & dominated by St. Mark's Basilica.,,natural,
200,Alberoni Beach,"Alberoni, 30126 Venice, Italy",5,45.35001652952286 12.329761209534581,Alberoni Beach is a secluded sandy beach located on the Lido island. It offers a tranquil escape from the city.,,natural,
201,Parco Piraghetto,"Via Piraghetto, 30175 Marghera, Venice, Italy",5,45.490015091966534 12.227137962445024,"Parco Piraghetto is a charming park situated in Marghera, a town near Venice. It features walking paths, green lawns, and a small lake.",,natural,
202,Parco Morosini,"Santa Croce, 30135 Venice, Italy",5,45.47154210154293 12.28067157874872,"Parco Morosini is a small park located in the Santa Croce district. It provides a pleasant green space with benches, trees, and a fountain",,natural,
203,Bacino Orseolo,"San Marco, 30124Venice, Italy",5,45.434235659445854 12.336915609134252,Bacino Orseolo is a picturesque canal basin situated in the San Marco district. It is known for its charming gondolas and beautiful architecture surrounding the water.,,natural,
204,Parco Savorgnan,"Santa Croce, 30135 Venice, Italy",5,45.44356215582208 12.323705353313516,"Parco Savorgnan is a small park located in the Santa Croce district. It offers a peaceful setting with benches, trees, and a charming fountain.",,natural,
205,Laguna Veneta,"Venice, Italy",5,45.356210795666804 12.273570921757564,Laguna Veneta refers to the vast lagoon surrounding the city of Venice. It is a unique natural ecosystem with a diverse range of flora and fauna.,,natural,
206,Parco San Francesco della Vigna,"Castello, 30122 Venice, Italy",5,45.44443782028774 12.323853752195813,"Parco San Francesco della Vigna is a historic park located in the Castello district. It features well-manicured gardens, ancient trees, and a peaceful atmosphere.",,natural,
207,Isola di San Pietro,"Venice, Italy",5,45.434482363194924 12.360037701543943,Isola di San Pietro is a picturesque island situated in the Venetian lagoon. It offers a tranquil escape from the city's crowds.,,natural,
208,Parco San Giacomo dell'Orio,"Santa Croce, 30135 Venice, Italy",5,45.443143269104496 12.327772920464284,"Parco San Giacomo dell'Orio is a lovely park located in the Santa Croce district. It features open green spaces, shady trees, and a central square.",,natural,
209,Parco Papadopoli,"Santa Croce, 30135 Venice, Italy",5,45.43984756599932 12.320772556582982,"Parco Papadopoli is a charming park situated in the Santa Croce district. It features well-maintained gardens, tree-lined paths, and a central fountain.",,natural,
210,Isola di San Michele,"Venice, Italy",5,45.4467254272434 12.34676706396202,"Isola di San Michele is a small island in the Venetian lagoon. It serves as the main cemetery of Venice, known for its serene atmosphere and beautiful funerary art.",,natural,
211,Parco Bissuola,"Via Alvise Cadamosto, 30173 Mestre, Venice, Italy",5,45.499703990888875 12.266267326331747,"Parco Bissuola is a large park located in the Mestre district. It offers extensive green spaces, walking paths, and sports facilities. The park is a great place for outdoor activities.",,natural,
212,Punta della Dogana,"Dorsoduro, 30123 Venice, Italy",5,45.4311132123022 12.336907897491246,"Punta della Dogana is a prominent point in the Dorsoduro district of Venice. It offers stunning panoramic views of the city, including the Grand Canal and the surrounding islands.",,natural,
213,Parco Albanese,"Via Francesco Baracca, 30174 Mestre, Venice, Italy",5,45.49975663072412 12.266181495645982,"Parco Albanese is a spacious park situated in the Mestre district. It features lush green areas, walking trails, and recreational facilities.",,natural,
214,Isola di Burano,"Venice, Italy",5,45.48573522163991 12.416705333287123,Isola di Burano is a colorful island located in the Venetian lagoon. It is known for its vibrant houses and lace-making tradition. ,,natural,
215,Mount Vesuvius,Arno Islands (Near Florence),4,43.833901714332484  11.002319543640752," A group of small islands in the Arno River, offering tranquil green spaces and beautiful natural views.",,natural,
216,Capri Island,Parco Nazionale di Vallombrosa (Near Reggello),4,43.73341669757307  11.554358036814268," A natural reserve known for dense forests, stunning landscapes, and beautiful hiking trails.",,natural,
217,Amalfi Coast,Lake Bilancino (Near Barberino di Mugello),4,43.98168778877407  11.26934898476147," A picturesque lake surrounded by hills, offering opportunities for water sports, picnicking, and relaxation.",,natural,
218,Positano,Mugello Region (North of Florence) ,4,43.95101268605907  11.399728286547493," A scenic area known for its rolling hills, charming villages, and natural beauty, perfect for leisurely drives or bike rides.",,natural,
219,Pompeii,Mount Falterona (Near Stia),4,43.87503343499283  11.696444103191356," A mountain in the Casentino Forests, providing hiking trails, panoramic views, and the source of the Arno River.",,natural,
220,Herculaneum,Parco Naturale delle Foreste Casentinesi (Casentino Forests) ,4,43.957023590052835 11.735273825341345,"A national park with ancient forests, wildlife, and numerous hiking trails, including the famous Camaldoli Hermitage.",,natural,
221,Phlegraean Fields (Campi Flegrei,Montalbano Hills (West of Florence),4,43.8667044892783 10.867802581394493,"A hilly area with olive groves, vineyards, and charming medieval villages, offering panoramic views of the surrounding countryside.",,natural,
222,Procida Island:,Mugello Circuit (Near Scarperia) ,4,43.99612051658606  11.371060867671842,"A world-renowned racetrack surrounded by green hills, hosting international motorsport events and offering driving experiences.",,natural,
223,Ischia Island,Parco di Montececeri (Fiesole) ,4,43.79415923726827  11.304049281152377,"A park located on Montececeri hill, known for its walking paths, picnic areas, and stunning views of the city of Florence.",,natural,
224,Sorrento Peninsula,Boboli Gardens (Piazza de' Pitti) ,4,43.76265988950077 11.248356681150524,"Historic gardens behind the Pitti Palace, featuring beautiful landscaping, sculptures, and panoramic views.",,natural,
225,Naples Botanical Garden (Orto Botanico di Napoli),"Giardino Bardini (Costa San Giorgio, 2)",4,43.76408609908387  11.256138309986481," Renaissance-style garden with terraces, statues, and stunning views of Florence.",,natural,
226,Baia Underwater Archaeological Park,Cascine Park (Viale degli Olmi) ,4,43.783235821378135 11.216730785980964," Large public park along the Arno River, perfect for picnics, walking, and cycling.",,natural,
227,Vesuvius National Park,"Villa Demidoff Park (Via Fiorentina, 276)",4,43.85987754533808  11.30358570999208,"Park located outside Florence, featuring a monumental statue of ""Colosso dell'Appennino.""",,natural,
228,Grotta dello Smeraldo (Emerald Grotto),"Fiesole (Via San Francesco, 18) ",4,43.80008570020767  11.290840521782494,"Picturesque town on a hilltop near Florence, offering stunning views of the city and the surrounding countryside.",,natural,
229,Villa Doria d'Angri Park,Monte Ceceri (Fiesole),4,43.797947940087155  11.303797627224053,Hill known for its beautiful hiking trails and panoramic views of Florence and the Tuscan landscape.,,natural,
230,Parco Virgiliano,Piazzale Michelangelo (Viale Michelangelo) ,4,43.76255680165892  11.264898209986455,Square with a bronze replica of Michelangelo's David and a terrace offering breathtaking views of Florence.,,natural,
231,Astroni Crater Nature Reserve,Parco delle Cascine (Viale degli Olmi) ,4,43.78294295081655  11.21690066765942,"Large park with walking paths, sports facilities, and a riverside promenade along the Arno River.",,natural,
232,Piazza del Plebiscito,"Parco di Villa Strozzi (Via Pisana, 37) ",4,43.77249261552232  11.230333025330612,"Historic park with beautiful gardens, woods, and a pond, perfect for a peaceful stroll.",,natural,
233,Naples Underground (Napoli Sotterranea),Parco della Villa Fabbricotti (Via Vittorio Emanuele II),4,44.74633952816351  10.599106936010577," Park with lush greenery, a lake, and walking trails, providing a tranquil escape in the city.",,natural,
234,Villa Floridiana,Parco delle Cascine di Tavola (Reggello) ,4,43.846466421590144 11.0618133099913,"Nature reserve located outside Florence, known for its forests, hiking trails, and scenic beauty.",,natural,
235,Teatro dellOpera di Roma,"Piazza Beniamino Gigli, 00184 Roma RM, Italy",1,41.90079059587993 12.495658295400876,Iconic 19th-century theater thats as visually dramatic & lavish as the opera productions it stages.,50,night,
236,Piazza Navona in Rome,"Piazza Navona, 00186 Roma RM, Italy",1,42.61517702203919 12.588172027923532,"Elegant square dating from the 1st century A.D., with a baroque fountain, street artists & bars.",60,night,
237,Trevi Fountain in Rome,"Piazza di Trevi, 00187 Roma RM, Italy",1,41.90108118403159 12.483358776092714,"Aqueduct-fed rococo fountain, designed by Nicola Salvi & completed in 1762, with sculpted figures.",50,night,
238,Intimate jazz club & whisky bar.,"Via Gregoriana, 54/a, 00187 Roma RM, Italy",1,41.90646391870449 12.48456545236533,Cool cocktails & bar meals in a low-lit setting with a frosty vibe & decor made out of ice.,35,night,
239,Castel SantAngelo,"Lungotevere Castello, 50, 00193 Roma RM, Italy",1,41.90318294933377 12.466254537728092,"Circular, 2nd-century castle housing furniture & paintings collections in Renaissance apartments.",35,night,
240,Roof Garden & Bar,"Via Giovanni Vitelleschi, 34, 00193 Roma RM, Italy",1,41.905156608826275 12.461993231390387,"A roof that turns into a terrace for cocktails, private parties, business meetings or can also be used only to admire Rome from an unconventional perspective. ",75,night,
241,Vatican Museums,00120 Vatican City,1,41.90663948198113 12.453652024237723,"Multiple galleries of classical & Renaissance art masterpieces, plus the Sistine Chapel frescoes.",70,night,
242,Trastevere,"Trastevere, Rome, Metropolitan City of Rome Capital, Italy",1,41.885986467545884 12.47013118675295,"Colorful Trastevere is a funky, bohemian area that clings to its centuries-old, working-class roots. Its known for traditional and innovative trattorias, craft beer pubs and artisan shops, as well as simple B&Bs and budget hotels. From the pre-dinner passeggiata (promenade) until late, a young crowd buzzes around Piazza di San Calisto and Piazza Santa Maria in Trastevere, the site of a gilded, mosaic-filled church.",40,night,
243,Ice Club Roma,"Via della Madonna dei Monti, 18/19, 00184 Roma RM, Italy",1,41.89587441474658 12.489198508866922,Cool cocktails & bar meals in a low-lit setting with a frosty vibe & decor made out of ice.,50,night,
244,La Cabala,"Via dei Soldati, 25c, 00186 Roma RM, Italy",1,41.90571254723192 12.47117406485654,Intimate nightclub on the top floor of a medieval building with views of the River Tiber.,70,night,
245,Disco Planet Rome,"Via del Commercio, 36, 00154 Roma RM, Italy",1,41.87287026998206 12.475808921887781,"Busy nightclub with multiple rooms & dance floors offering live bands & themed nights, plus a bar.",50,night,
246,Sharivari,"Via de Nari, 14, 00186 Roma RM, Italy",1,41.89813384139835 12.47603553805878,"Elegant & glamorous venue with an Italian fine dining restaurant, a bistro & a stylish nightclub.",60,night,
247,Yellow Bar,"Via Palestro, 40, 00185 Roma RM, Italy",1,41.90549788598787 12.504623530116069,"Low-lit, buzzing restaurant/bar in a hostel, with live music & an underground club.",25,night,
248,Mag Cafe,"Ripa di Porta Ticinese, 43, 20143 Milano MI, Italy",2,45.45137380174303 9.173410528562401,this place is known for its aperitivo hours where drinks are accompanied by finger food3.,50,night,
249,Moscow Mule Bar,"Via Teodosio, 60, 20131 Milano MI, Italy",2,45.48691299523624 9.230104335554646,this place is known for its aperitivo hours where drinks are accompanied by finger food3.,60,night,
250,Il Bar,"Via Teodosio 60, Milan, 20131",2,45.46488794489 9.19186033555871,this place is known for its aperitivo hours where drinks are accompanied by finger food3.,50,night,
251,Moscow Mule Bar,"Via Cardinale Ascanio Sforza 37, Milan, 201362.",2,45.486935560288565 9.230039962540317,"Moscow Mule Bar: This is a cocktail bar located at Via Teodosio 60, Milan1. The bar is known for its Moscow mule, a cocktail made with vodka",35,night,
252,Coba Happy Hour Navigli Milano,"Via Ascanio Sforza, 37, 20136 Milano MI, Italy",2,45.448550963202834 9.177362777880898,"Ascanio Sforza 37, Milan2, this place is known for its aperitivo hours where drinks are accompanied by finger food3.",35,night,
253,Frida,"Viale Premuda 7, Milan, 20129",2,45.458039780365205 9.175339464339972,"Frida: Located in Milan, Frida is a bar and shop that has changed the history of the Isola district",75,night,
254,Lab Milano Cocktail Bar,"Viale Monza 140, Milan, 20127",2,45.46411712261373 9.207083564386444,"It is known for its experimentation, creation, and research of new flavors and sensations.",70,night,
255,Zelig Cabaret,"Via Cardinale Ascanio Sforza 21, Milan, 20136",2,45.50417003266416 9.222361977880084,It offers high-quality live music every evening from Tuesday to Saturday,40,night,
256,Ginger Cocktail Lab,"Via Emilio Gola 12, Milan",2,45.44975079758872 9.177653809135325,It is the perfect address for those seeking moments of pure pleasure and fun in the Milanese nightlife,50,night,
257,10gradinord,"Ippolito Rosellini 1, Zona Isola - Stazione Centrale - Garibaldi - Corso Como, Milan, 20124",2,45.44429922991731 9.154419289529445,over the years has witnessed performances by artists of great prestige both in Italy and abroad,70,night,
258,CAPRICCIO Exclusive Club Milano,"Via Emilio Gola 12, Milan",2,45.48841007943055 9.193648864395378,offers lowed parties and excelent drinks.,50,night,
259,Nidaba Theatre - Live Music Navigli Milano," Via dei Piccolomini 5, 20151 Milano",2,45.44901478024667 9.17581989323408,"fun and transgression, immersing yourself in an enveloping and engaging atmosphere10.",60,night,
260,San Siro Stadium,"Via dei Piccolomini 5, 20151 Milano",2,45.47816345147721 9.124044279734743,"San Siro, officially known as Stadio Giuseppe Meazza, is a football stadium in the San Siro district of Milan, Italy, which is the home of A.C.",25,night,
261,La Scala Opera House,"Piazza della Scala, Milan",2,45.46747734286862 9.189578022068918,"Nestled in the heart of Milan, Teatro alla Scala, commonly known as La Scala, is one of the world’s most iconic and prestigious opera houses",50,night,
262,Castello Sforzesco,"Piazza Castello, Milan",2,45.4705890581159 9.179294949052773,"This is a medieval fortification located in Milan, Northern Italy",55,night,
263,Galleria Vittorio Emanuele II,"Piazza del Duomo, Milan",2,45.46607092766959 9.189941347846336,"Galleria Vittorio Emanuele II: This is Italy’s oldest active shopping gallery and a major landmark of Milan, Italy",45,night,
264,Duomo di Milano:,"Piazza del Duomo, Milan",2,45.46413832526434 9.191911955650484,"The Milan Cathedral, also known as Duomo di Milano, is a mind-blowing journey among art, history",45,night,
265,Rock’n’roll Milano,"Via Giuseppe Bruschetti, 11, 20125 - Milano",2,45.49268259761525 9.207582977890452,This is a unique place that offers a selection of crafted drinks that are sharp and refreshing to the senses.,23,night,
266,Bar Matricola,"Via Caminadella 20, Milan, 20143",2,45.4657783037244 9.175356169057729,This is a nice place where you can reserve a table or even a small space for yourselves.,43,night,
267,Hole Rabbit Cafè:,"Via Giuseppe Mazzini 20, Milan,20123",2,45.46180397549449 9.18842832206119,"This café is an Alice in Wonderland-themed tea room, the first of its kind in Italy",12,night,
268,The Lounge Bar:,"Piazza della Repubblica 20, Milan,20124",2,45.48055440946163 9.199831924070043,"The Lounge Bar is located in The Westin Palace, Milan. It’s a popular meeting place for both locals and international travelers",34,night,
269,Piazza Bellin,"Piazza Bellini, Naples, Italy.",3,40.84996623004733 14.252255680775132,"Piazza Bellini: A vibrant square known for its lively nightlife scene, with numerous bars, cafes, and live music venues",50,night,
270,Via dei Tribunal,"Via dei Tribunali, Naples, Italy.",3,40.851622971186295 14.258811145831396,"Via dei Tribunali: A popular street in the historic center, lined with bars, pubs, and small clubs. Its a great place for bar hopping and enjoying the energetic atmosphere",60,night,
271,Lungomare Caracciolo,"Lungomare Caracciolo, Naples, Italy.",3,40.82820459966301 14.221175117005366,"Lungomare Caracciolo: A scenic promenade along the waterfront, offering a variety of bars, restaurants, and clubs with stunning views of the bay",50,night,
272,Vomero,"Vomero district, Naples, Italy.",3,40.84345596862755 14.222263130735039,Vomero,35,night,
273,Quartieri Spagnoli,"in the Spanish Quarter (Quartieri Spagnoli), Naples, Italy.",3,40.842996831187456 14.247183598207501,"Quartieri Spagnoli: A vibrant and authentic neighborhood with many local bars, taverns, and late-night spots. Its a great place to experience the local nightlife scene.",35,night,
274,Piazza San Domenico Maggiore,"Piazza San Domenico Maggiore, Naples, Italy.",3,40.848659038842506 14.255170490025531,Piazza San Domenico Maggiore: A charming square surrounded by historic buildings and filled with bars and outdoor seating.,75,night,
275,Via Partenope,"Via Partenope, Naples, Italy",3,40.830087259492544 14.24549477471527,"Via Partenope: A waterfront street with a selection of bars and clubs, offering a lively atmosphere and beautiful views of the sea.",70,night,
276,Via Toledo,"Via Toledo, Naples, Italy.",3,40.84290602172316 14.248883542363032,"Colorful Trastevere is a funky, bohemian area that clings to its centuries-old, working-class roots. Its known forVia Toledo: A bustling street with a mix of bars, cafes, and late-night venues. Its a popular spot for socializing and enjoying the vibrant atmosphere",40,night,
277,Chiaia,"the Chiaia district, Naples, Italy.",3,40.83616017730097 14.233442927748316,"Chiaia: A trendy neighborhood known for its upscale bars, cocktail lounges, and stylish nightlife venues.",50,night,
278,Rione Sanità,"the Sanità district, Naples, Italy.",3,40.85907009737598 14.254342381556192,"Rione Sanità: A historic neighborhood with a growing nightlife scene, featuring bars, music venues, and cultural spaces.",70,night,
279,Teatro Bellini,"Via Conte di Ruvo, 14, 80135 Naples NA, Italy.",3,40.85128822191436 14.251053015589855,"Teatro Bellini: A renowned theater that hosts a variety of performances, including theater shows, concerts, and DJs. Its a unique nightlife experience in a cultural setting",50,night,
280,Borgo Marinari,"Borgo Marinari, Naples, Italy.",3,40.830904856109846 14.248086060333234,Borgo Marinari: A picturesque area with a selection of bars and restaurants located on a small island near the Castel dellOvo.,60,night,
281, Piazza San Pasquale,"t Piazza San Pasquale, Naples, Italy.",3,40.834347946216745 14.236365352397153,"Piazza San Pasquale: A lively square with several bars and pubs, known for its vibrant nightlife and social gatherings",25,night,
282,Piazza San Domenico Maggiore,"Piazza San Domenico Maggiore, Naples, Italy.",3,40.8486428073012  14.255138296358506,"square with a mix of bars, cafes, and clubs, offering a diverse range of nightlife options",44,night,
283,Via Partenope,"Via Partenope, Naples, Italy.",3,40.83009537738777 14.245548411701392,"A waterfront street with a selection of bars and clubs, offering a lively atmosphere and beautiful views of the sea.",45,night,
284,Pozzuoli,"in Pozzuoli, Naples, Italy.",3,40.84685248123578  14.083042636544471,"A coastal town near Naples with a vibrant nightlife scene, featuring bars, clubs, and beachfront venues.",54,night,
285,Vico San Pietro a Majella,"Vico San Pietro a Majella, Naples, Italy.",3,40.84984319864723  14.252366396358557,A narrow street in the historic center known for its jazz bars and live music venues. Its a great place for music enthusiasts and those who enjoy a laid-back atmosphere,65,night,
286,Via Toledo Underground,"Via Toledo, Naples, Italy.",3,40.84317949066407  14.249018945032248,"An underground space hosting events, concerts, and DJ performances. It offers a unique and alternative nightlife experience.",56,night,
287,Via Mezzocannone,"Via Mezzocannone, Naples, Italy.",3,40.84674654272337  14.256055409850479,"A street in the university district, featuring a variety of bars, pubs, and student hangouts. Its a vibrant area with a youthful atmosphere.",45,night,
288,Molo Beverello,"Molo Beverello, Naples, Italy.",3,40.83837091115347  14.254583881014058,"The main port area of Naples, offering a range of bars and restaurants with waterfront views",34,night,
289,Skyline Rooftop Bar,"San Marco, 30124 Venice",5,45.428154880168364 12.320120093484084,Skyline Rooftop Bar offers breathtaking views of the Venice skyline. Enjoy a wide range of cocktails and live music while taking in the citys beauty.,15,night,
290,Bacaro Jazz Club,"Dorsoduro, 30123 Venice",5,45.438426493589326 12.337163268656042,Bacaro Jazz Club is a popular spot for jazz enthusiasts. Sip on your favorite drink while listening to live jazz performances in an intimate and cozy setting.,10,night,
291,Lido Beach Bar,"Lido di Venezia, 30126 Venice",5,45.41438035686907 12.377185353099454,"Lido Beach Bar is the perfect place to unwind by the beach. Enjoy refreshing cocktails, lounge on sunbeds, and take a dip in the Adriatic Sea.",8,night,
292,Harrys Bar,"San Marco, 30124 Venice",5,45.432649050443054 12.337351810333082,Harrys Bar is a historic Venetian institution known for its classic cocktails and elegant atmosphere. Experience the charm of this iconic bar frequented by famous personalities.,20,night,
293,Cafe Noir,"Cannaregio, 30121 Venice",5,45.43611308367388 12.325304839820115,"CafÃ© Noir is a trendy cafÃ© by day and a lively bar by night. Savor delicious coffee, indulge in tasty snacks, and enjoy the vibrant atmosphere.",7,night,
294,Bacaro Veneto,"Castello, 30122 Venice",5,45.43597624012882 12.325980695637,Bacaro Veneto is a traditional Venetian wine bar. Sample a variety of local wines and savor delectable cicchetti (small snacks) in a cozy and authentic setting.,12,night,
295,Jazz Club Venice,"Santa Croce, 30135 Venice",5,45.43338289220982 12.323896110984217,"Jazz Club Venice offers an eclectic mix of jazz, blues, and soul music. Immerse yourself in the soulful melodies while enjoying your favorite drink.",15,night,
296,Novecento Jazz Club 900,"Campiello del Sansoni, 900, 30125 Venezia VE, Italy",5,45.438884612197604 12.332600342203314,"Novecento Jazz Club 900 offers an intimate and cozy space for jazz enthusiasts. Enjoy live jazz music, friendly ambiance, and a wide selection of drinks.",10,night,
297,Giudecca 795 Art Gallery,"Giudecca, 30133 Venice",5,45.42705733706576 12.324006636884436,Giudecca 795 Art Gallery is a contemporary art space showcasing works from local and international artists. Explore the vibrant art scene of Venice in this unique gallery.,0,night,
298,Cipriani Bar,"Giudecca, 30133 Venice",5,45.42740516538459 12.341075130116065,Cipriani Bar is a luxurious waterfront bar offering stunning views of the lagoon. Enjoy signature cocktails and a sophisticated ambiance in this iconic Venetian establishment.,25,night,
299,Bauer Palazzo Rooftop Bar,"San Marco, 30124 Venice",5,45.4323846070704 12.33620076746849,Bauer Palazzo Rooftop Bar provides panoramic views of Venices landmarks. Indulge in a wide selection of drinks and experience the citys charm from above.,20,night,
300,Piccolo Mondo,"Cannaregio, 30121 Venice",5,45.43183544867263 12.327395666805542,Piccolo Mondo is a lively bar known for its energetic atmosphere and live music performances. Dance the night away and enjoy a vibrant nightlife experience.,10,night,
301,Acqua Alta Bookstore,"Castello, 30122 Venice",5,45.438175504443926 12.342324182148804,Acqua Alta Bookstore is a unique bookstore with a charming twist. Enjoy a drink amidst stacks of books and experience the cozy and eccentric ambiance.,0,night,
302,Bacaro Dai Mori,"San Polo, 30125 Venice",5,45.43904714928625 12.334050353736009,Bacaro Dai Mori is a traditional Venetian wine bar with a rich selection of local wines and delicious cicchetti. Immerse yourself in the local culture and flavors.,12,night,
303,La Fenice Opera House,"San Marco, 30124 Venice",5,45.4337203878043 12.333736437969938,La Fenice Opera House is a historic venue offering breathtaking opera performances. Witness world-class talent in an opulent setting for an unforgettable night.,15,night,
304,Bacaro Rosso,"Dorsoduro, 30123 Venice",5,45.550258235785044 12.310143080306643,Bacaro Rosso is a cozy wine bar serving an extensive selection of wines and delectable Venetian dishes. Experience the local culinary delights in a warm ambiance.,15,night,
305,Venissa Wine Resort,"Mazzorbo, 30142 Venice",5,45.48871091437793 12.411144195645216,Venissa Wine Resort is a vineyard and wine bar located on the island of Mazzorbo. Taste exquisite local wines and enjoy the serene atmosphere of the Venetian lagoon.,30,night,
306,Osteria Al Squero,"Dorsoduro, 30123 Venice",5,45.430247056299976 12.326214568655397,Osteria Al Squero is a charming bar near a gondola workshop. Sip on a glass of wine and watch the gondoliers at work while enjoying the authentic Venetian vibe.,10,night,
307,Cantina Do Mori,"San Polo, 30125 VeniceVenice",5,45.43911542029395 12.333987980298884,"Cantina Do Mori is one of the oldest wine bars in Venice, dating back to 1462. Step into history and enjoy a glass of wine in this atmospheric and traditional establishment.",10,night,
308,The Gritti Palace Terrace,"San Marco, 30124 Venice",5,45.43196136790368 12.333323153312689,The Gritti Palace Terrace is a luxurious rooftop bar offering stunning views of the Grand Canal. Indulge in exquisite cocktails and soak in the opulence of Venice.,30,night,
309,Peggy Guggenheim Collection,"Dorsoduro, 30123 Venice",5,45.43101662927538 12.331537395641181,Peggy Guggenheim Collection is a renowned modern art museum. Discover masterpieces by prominent artists and enjoy the vibrant art scene in the heart of Venice.,15,night,
310,Red Garter,"Via de' Benci, 33",4,43.76836469187916  11.25974135231494,"Lively pub with live music, karaoke, and a vibrant atmosphere.",50,night,
311,The Blob Club,"Via Vinegia, 21/r",4,43.76891828170419  11.257509125330413," Popular nightclub playing a mix of music genres, from rock to electronic.",60,night,
312,Space Electronic Disco Club,"Via Palazzuolo, 37",4,43.77381941208471  11.24630386765888,Underground electronic music venue with multiple dance floors.,50,night,
313,Jazz Club Firenze,"Via Nuova de' Caccini, 3",4,43.77364993005363  11.263129996494765,Intimate jazz club hosting live performances by local and international artists.,35,night,
314,Lion's Fountain Pub,"Via del Giglio, 49",4,43.771689206953496  11.261546311838273," Irish pub featuring live sports screenings, pub quizzes, and a wide selection of beers.",35,night,
315,YAB Disco Club,"Via Sassetti, 5r",4,43.77102791931721  11.252681725330541,Stylish nightclub with multiple dance floors and a mix of music genres.,70,night,
316,Mayday Club,"Via Dante Alighieri, 16",4,43.77112426647661  11.256593338822828,"Late-night club with a dance floor, DJ sets, and a trendy atmosphere.",40,night,
317,Rex Café,"Piazza della Repubblica, 6R",4,43.77268477340966 11.26320500998696," Chic café-bar offering cocktails, live music, and a terrace with panoramic views.",50,night,
318,Full Up Club ,"Via della Vigna Vecchia, 23r",4,43.7702493936777  11.258863038822758,Nightclub playing a mix of music genres and hosting regular themed parties.,70,night,
319,Tenax Club,"Via Pratese, 46",4,43.79907592178722  11.195229340675793,Renowned club known for its electronic and techno music events.,50,night,
320,Moyo," Via dei Benci, 23r",4,43.76828162198765  11.259612408135453,"Cocktail bar with a relaxed ambiance, outdoor seating, and a wide range of drinks.",60,night,
321,Negroni,"Via dei Renai, 17r",4,43.76822199914468  11.258593783855463, Trendy cocktail bar with a stylish interior and expertly crafted drinks.,25,night,
322,Rasputin Disco Pub,"Via Pier Capponi, 1",4,43.76649688304835 11.248074725330342,Russian-themed nightclub with multiple dance floors and live DJ performances.,44,night,
323,The Fusion Bar ,"Via del Ghibellina, 70r",4,43.76901093382141  11.25321075416632 ,"Lounge bar offering a fusion of cocktails, sushi, and live music.",45,night,
324,Slowly Club,"Via Porta Rossa, 63",4,43.88170687721324  11.256453811007072," Cosy nightclub with a dance floor, DJ sets, and a friendly atmosphere.",54,night,
325,Volume,"Piazza Santo Spirito, 5r",4,43.7668254342757  11.247837067658484,"Artistic venue hosting live music, DJ sets, and cultural events.",65,night,
326,The Friends Pub,"Via de' Pepi, 51",4,43.770623170687344  11.250934164070319,"Cozy pub with a warm atmosphere, offering a selection of beers and spirits. ",56,night,
327,Rivoire,"Piazza della Signoria, 5-6r",4,43.769751570210744 11.255085496494521," Historic café with outdoor seating, known for its hot chocolate and pastries.",45,night,
328,Zoe,"Piazza Santa Maria Novella, 20r",4,43.76556532992247 11.260219383652483, Lounge bar and restaurant with a sophisticated ambiance and signature cocktails.,34,night,
329,The Blob Firenze,"Via del Proconsolo, 9r",4,43.768887290999125  11.257444752315003,Eclectic bar with a unique interior and a mix of music genres.,55,night,
330,The Beer House Club,"Via de' Benci, 23r",4,43.76762609944837  11.260033742525252,Lively pub offering a wide selection of craft beers and live sports screenings.,60,night,
331,Colle Bereto,"Piazza Strozzi, 5r",4,43.77112653463012 11.252039781151037," Rooftop bar with panoramic views of Florence, serving cocktails and light bites.",65,night,
332,Oibo - Beer e Burger,"Via dei Benci, 34r",4,43.768698739032935  11.260299983002195,Casual bar offering a variety of beers on tap and gourmet burgers.,45,night,
333,Rari Nantes Florentia,"Viale Paoli, 3",4,43.76659939407486  11.275888098033125,Sports bar with big screens for watching live sports events and a friendly atmosphere.,23,night,
334,Colosseum,"Piazza del Colosseo, 1, 00184 Roma RM, Italy",1,41.89037789425863 12.49227381074512,"The Colosseum is an ancient amphitheater located in Rome, Italy. It is one of the most iconic landmarks of the Roman Empire and a popular tourist attraction.",42,old,
335,Roman Forum,"Via della Salara Vecchia, 5/6, 00186 Roma RM, Italy",1,41.89267790743491 12.485303537730914,The Roman Forum is a rectangular plaza surrounded by the ruins of several important ancient government buildings. It served as the center of Roman public life for centuries.,55,old,
